Country name,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Law,Press_Freedom,Political_Rights,Inequality,Schooling,armed_conflicts,Unemployment rate
Jamaica,Latin America and Caribbean,6.309,9.186,0.877,67.5,0.89,-0.137,0.884,43.35799256,89.96222342,85.71428571,53.31,9.154628661,0.0,9.18
Japan,East Asia,5.94,10.611,0.884,75.1,0.796,-0.258,0.638,87.82469347,69.47652455,100.0,44.24,13.36610034,0.0,2.8
Jordan,Middle East and North Africa,4.395,9.182,0.767,67.0,0.755,-0.167,0.705,53.04386494,52.52023745,30.95238095,48.36,10.44668007,0.0,19.25
Kazakhstan,Commonwealth of Independent States,6.152,10.155,0.952,65.2,0.853,-0.069,0.733,35.2301151,52.11009174,16.66666667,41.2,12.34756189,0.0,4.9
Kenya,Sub-Saharan Africa,4.607,8.361,0.688,60.704,0.779,0.287,0.825,37.69343917,69.71397733,50.0,48.72,6.652,1.0,5.74
Kuwait,Middle East and North Africa,6.106,10.817,0.843,66.9,0.867,-0.104,0.736,54.25776111,40.87425796,38.0952381,52.9,7.328022618,0.0,3.71
Kyrgyzstan,Commonwealth of Independent States,5.744,8.538,0.893,64.401,0.935,0.119,0.908,20.30537481,69.34700486,14.28571429,29.7,11.37410556,0.0,9.1
Laos,Southeast Asia,5.03,8.947,0.728,58.968,0.91,0.123,0.658,31.29075449,39.54668106,9.523809524,43.335,5.374,0.0,1.26
Latvia,Central and Eastern Europe,6.032,10.315,0.927,67.1,0.715,-0.162,0.8,72.6011013,85.45062062,92.85714286,34.69,13.25271988,0.0,7.6
Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,20.30562965,50.27522936,35.71428571,54.17,8.718636,1.0,14.49
Lesotho,Sub-Saharan Africa,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,37.18580138,64.1014571,69.04761905,49.51,6.010184707,0.0,24.6
Liberia,Sub-Saharan Africa,4.625,7.288,0.72,56.498,0.735,0.05,0.85,24.06360004,67.74959525,69.04761905,43.24,5.082,0.0,4.09
Libya,Middle East and North Africa,5.41,9.622,0.827,62.3,0.771,-0.087,0.667,2.218531642,46.58391797,7.142857143,44.13,7.599985,1.0,19.58
Lithuania,Central and Eastern Europe,6.255,10.499,0.935,67.906,0.773,-0.203,0.826,75.87356737,90.81489477,95.23809524,39.225,13.49810028,0.0,7.9
Luxembourg,Western Europe,7.324,11.647,0.908,72.6,0.907,-0.034,0.386,93.1033898,86.14139234,95.23809524,34.84,13.01519217,0.0,5.23
Madagascar,Sub-Saharan Africa,4.208,7.396,0.686,59.305,0.552,-0.005,0.803,25.56864551,62.62277388,69.04761905,50.76,5.120468534,0.0,2.59
Malawi,Sub-Saharan Africa,3.6,6.958,0.537,57.948,0.78,0.038,0.729,41.56547936,66.27091203,73.80952381,48.41,4.489695385,0.0,7.02
Malaysia,Southeast Asia,5.384,10.238,0.817,67.102,0.895,0.125,0.839,61.82413815,55.63950351,52.38095238,40.27,10.64505959,0.0,4.61
Mali,Sub-Saharan Africa,4.723,7.744,0.724,51.969,0.697,-0.036,0.827,24.67112588,58.8019428,23.80952381,40.21,2.31,1.0,7.72
Malta,Western Europe,6.602,10.674,0.931,72.2,0.927,0.133,0.653,69.62776091,66.43281166,88.0952381,31.08,12.21026039,0.0,3.5
Mauritania,Sub-Saharan Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,30.56207783,62.70912035,38.0952381,40.48,4.918804891,1.0,11.46
Mauritius,Sub-Saharan Africa,6.049,10.008,0.905,66.701,0.867,-0.054,0.789,69.85620391,71.31138694,90.47619048,47.4,10.42791048,0.0,7.41
Mexico,Latin America and Caribbean,6.317,9.859,0.831,68.597,0.862,-0.147,0.799,27.27512209,51.34376686,69.04761905,64.28,9.221050262,1.0,4.38
